**** BEGIN LOGGING AT Mon Apr  1 01:35:26 2024

Apr 01 01:39:12 <elmoriya22>	KEKW
Apr 01 01:39:12 <armored_kong>	ironmouseOMEGALUL
Apr 01 01:39:12 <darkdragon904>	ironmouseOMEGALUL
Apr 01 01:39:12 <aname_nana>	ICANT
Apr 01 01:39:13 <ghsteo>	KEKW
Apr 01 01:39:13 <luffynotomo>	ooof
Apr 01 01:39:13 <flarenock>	om
Apr 01 01:39:14 <hardlee91>	om
Apr 01 01:39:14 <wallbrobart>	ironmouseKEK ironmouseKEK ironmouseKEK
Apr 01 01:39:16 <cronusemil>	@WallBroBart Bro, its Cold here Clueless
Apr 01 01:39:16 <angelpawz>	haha
Apr 01 01:39:17 <hunter_pls>	it is toy size to be fair
Apr 01 01:39:17 <lawdifficult_>	KEKW
Apr 01 01:39:18 <rinneganuser6>	KEKW
Apr 01 01:39:18 <anqab_as_music>	True
Apr 01 01:39:18 <cloudrune_72>	GOTTEM
Apr 01 01:39:18 <kasket_4kv>	KEKW
Apr 01 01:39:18 <arttieflingmagic_00>	om
Apr 01 01:39:19 <exofygames>	@ValleyOfTheKing feel you  Aware
Apr 01 01:39:19 <kitsellie>	thank you for singing mouse! i love your voice
Apr 01 01:39:20 <wilson_22>	ironmouseKEK ironmouseKEK ironmouseKEK
Apr 01 01:39:20 <s0daah>	KEKW
Apr 01 01:39:21 <plantslaper8000>	cap
Apr 01 01:39:22 <vidiaphoenix>	The Toys R Us we passed
Apr 01 01:39:22 <squidiord>	Have u and Connor discussed methods regarding talking to eachother even if he is cycling?
Apr 01 01:39:23 <juicey009>	om
Apr 01 01:39:27 <george_zohan>	Small lanes for cycling
Apr 01 01:39:27 <thetrevmaster>	KEKW
Apr 01 01:39:27 <aalert>	ThisIsFine
Apr 01 01:39:31 <valleyoftheking>	@ExofyGames Sadge
Apr 01 01:39:38 <mirrorslament>	mouse where can we buy the hot wheels collab you’re using?
Apr 01 01:39:39 <roscoeso>	hes really good at riding uphill like this without shaking the camera like crazy
Apr 01 01:39:40 <wolf_ninja_aron_artz>	I’m walking here or 私はここを歩いています
Apr 01 01:39:40 <emy_ai>	I'm gonna sleep now, take care mousey!
Apr 01 01:39:40 <hunter_pls>	LUL
Apr 01 01:39:41 <vidiaphoenix>	Mouse fits perfectly in the small lane
Apr 01 01:39:45 <luffynotomo>	kageePat ironmousePATS
Apr 01 01:39:46 <adrammelech_162>	KEKW
Apr 01 01:39:54 <cloudrune_72>	mouse lane KEKW
Apr 01 01:39:57 <hunter_pls>	SoCute
Apr 01 01:39:58 <trappedweirdo>	I'm thinking Chris is falling behind on this hill :D
Apr 01 01:40:00 <kaelrok1>	KEKW 󠀀
Apr 01 01:40:00 <wallbrobart>	@cronusemil It's clear here but not sunny
Apr 01 01:40:00 <metagory>	EWWW
Apr 01 01:40:01 <flotsam_>	?
Apr 01 01:40:08 <kowmodo>	Mousey in a matchbox go kart
Apr 01 01:40:09 <unoriginal_goat>	this stream needs a dog
Apr 01 01:40:15 <sabelle3923>	oh KEKW
Apr 01 01:40:17 <sgquickmath>	oh yeah i saw thatt
Apr 01 01:40:17 <flarenock>	om i seen that
Apr 01 01:40:18 <virtuousliberty>	Oh NO
Apr 01 01:40:19 <luffynotomo>	oh?
Apr 01 01:40:20 <virtuousliberty>	KEKW
Apr 01 01:40:20 <heisuisui>	om
Apr 01 01:40:20 <brandor1g>	om
Apr 01 01:40:20 <amneamnius>	om
Apr 01 01:40:21 <drakonknight>	om
Apr 01 01:40:21 <hapa_girl>	ah
Apr 01 01:40:21 <stieby86>	ironmouseDespair
Apr 01 01:40:21 <kaelrok1>	huh
Apr 01 01:40:22 <dksun1>	ono
Apr 01 01:40:22 <unoriginal_goat>	oh???
Apr 01 01:40:22 <baersy_>	KEKW
Apr 01 01:40:23 <metagory>	show us KEKW
Apr 01 01:40:23 <agatharn>	Oh no really?
Apr 01 01:40:23 <vertighostj>	MONKA
Apr 01 01:40:23 <kasket_4kv>	om
Apr 01 01:40:23 <elmoriya22>	KEKW
Apr 01 01:40:24 <aname_nana>	KEKW
Apr 01 01:40:24 <wallbrobart>	Oh?
Apr 01 01:40:24 <insufferableegg>	om
Apr 01 01:40:25 <acut3ness>	om
Apr 01 01:40:25 <luffynotomo>	hmmm
Apr 01 01:40:25 <sebbiie_>	OM
Apr 01 01:40:25 <spartacross29>	KEKW
Apr 01 01:40:26 <nanu991>	om
Apr 01 01:40:26 <saiegel01>	LUL
Apr 01 01:40:26 <valleyoftheking>	Link?
Apr 01 01:40:26 <zaworldox>	om omg
Apr 01 01:40:26 <roscoeso>	LUL
Apr 01 01:40:26 <yugensan_>	show please?
Apr 01 01:40:27 <elpeenz>	KEKWWA
Apr 01 01:40:27 <cerrebassvt__chaichai>	oh
Apr 01 01:40:28 <superiorityy6>	om 󠀀
Apr 01 01:40:28 <jm_salen>	lol you saw that
Apr 01 01:40:28 <fusha_1527>	om
Apr 01 01:40:28 <ashluver34>	ironmouseKEK
Apr 01 01:40:29 <ozmagale>	om
Apr 01 01:40:29 <hitishithefox>	i would love to do this one day when i can go to japan owo if im ever able too xD
Apr 01 01:40:29 <anthonyderschwarz>	om
Apr 01 01:40:30 <luffynotomo>	can you share?
Apr 01 01:40:30 <s_zufairy>	henyaSteer henyaSteer henyaSteer henyaSteer
Apr 01 01:40:30 <wilson_22>	ironmouseKEK
Apr 01 01:40:30 <george_zohan>	Kekw
Apr 01 01:40:30 <slinkman10>	no thanks lol
Apr 01 01:40:31 <velvetluca>	Oh god
Apr 01 01:40:31 <marbon47>	KEKW  󠀀
Apr 01 01:40:33 <darkdragon904>	ironmouseKEK
Apr 01 01:40:33 <oggienation>	lol
Apr 01 01:40:34 <vidiaphoenix>	You have to show us now
Apr 01 01:40:34 <pokelolo99>	@ironmouse show it :3
Apr 01 01:40:36 <xjinxedx>	WE HAVE TO SEE IT
Apr 01 01:40:38 <vertighostj>	Smadge LOVE HIM
Apr 01 01:40:38 <jaunedragneel>	ironmouseTehehe
Apr 01 01:40:39 <cerrebassvt__chaichai>	om waus
Apr 01 01:40:41 <katbert1>	retweet it
Apr 01 01:40:41 <jonesade1547>	Hi ironmouse I'm Aden I'm new but do you love horror games
Apr 01 01:40:43 <luffynotomo>	peepoGiggles
Apr 01 01:40:43 <wilson_22>	wtf
Apr 01 01:40:45 <adrianalucard>	Let us see
Apr 01 01:40:45 <metagory>	don't tease us Madge
Apr 01 01:40:46 <ammylin_>	nightmare fuel
Apr 01 01:40:47 <penguintroopers>	Dragon ballz songs
Apr 01 01:40:47 <noriaga101>	it's cute vs furbies
Apr 01 01:40:49 <darkmech1>	I saw it, it has the face of mischief
Apr 01 01:40:50 <djgrimloki>	Libk??
Apr 01 01:40:59 <unoriginal_goat>	can you gibe us a link?
Apr 01 01:40:59 <streamelements>	All my songs are available on my youtube channel playlist! Go check it out ➡️ https://www.youtube.com/playlist?list=PLPGvCeM8T-m40UpYjhh0ENY7XJ8CPXKVq
Apr 01 01:41:02 <agatharn>	CINNAMOROLL april fools sadge
Apr 01 01:41:05 <hunter_pls>	looks like a real dog lol
Apr 01 01:41:05 <apokalyptika>	The best april fools until now, was the palworld dating sim ngl
Apr 01 01:41:06 <djgrimloki>	Link?
Apr 01 01:41:11 <agarom32>	looks cute tho
Apr 01 01:41:15 <cronusemil>	Sanrio Just Bought *** I Guess
Apr 01 01:41:22 <dksun1>	@apokalyptika I saw that lol
Apr 01 01:41:26 <hitishithefox>	@apokalyptika i thought that was real lmao
Apr 01 01:41:33 <kaelrok1>	HYDRATE
Apr 01 01:41:36 <roscoeso>	so cut!!!!
Apr 01 01:41:38 <drakonknight>	om 󠀀
Apr 01 01:41:40 <silkycom>	om
Apr 01 01:41:42 <s0daah>	om
Apr 01 01:41:42 <roscoeso>	cute
Apr 01 01:41:47 <free4563>	NOWAYING
Apr 01 01:41:51 <agatharn>	ironmouseThoomin
Apr 01 01:41:52 <flarenock>	NOWAYING
Apr 01 01:41:53 <kingarchlich>	Sadge
Apr 01 01:41:54 <thelegendofdrago>	Hands on the wheel mouse, don't let go of the tricycle
Apr 01 01:41:57 <mouldy_breast_milk>	let's get to 69420 guys
Apr 01 01:41:57 <zerobake>	I got some cinnamon roll stuff from Weebcon
Apr 01 01:41:58 <agarom32>	I liked Zens Toaster April fools joke.
